SYMBOL,NAME,PRICE(USD)
BTC,Bitcoin,28288.3898188698313146
ETH,Ethereum,1573.5214639551080716
USDT,Tether,1.0007174918457730
BNB,BNB,210.7233167036209238
USDC,USDC,1.0008269935800989
XRP,XRP,0.4888288237988652
SOL,Solana,23.6898421587701603
ADA,Cardano,0.2475868105500901
DOGE,Dogecoin,0.0591477083776394
TRX,TRON,0.0879415813747774
DAI,Multi Collateral DAI,1.0000071106553135
MATIC,Polygon,0.5241762184019469
DOT,Polkadot,3.6893505577575113
WBTC,Wrapped Bitcoin,28275.7281059948357068
LTC,Litecoin,62.3172180377868553
BCH,Bitcoin Cash,226.5396161006226473
LINK,Chainlink,7.3588492586755409
SHIB,Shiba Inu,0.0000069076843636
LEO,UNUS SED LEO,3.7089091679016753
TUSD,TrueUSD,0.9997025761357591
AVAX,Avalanche,9.1679914244889113
XLM,Stellar,0.1043926103404544
XMR,Monero,150.8038016859776770
OKB,OKB,46.0379025175794935
UNI,Uniswap,3.9247628619461230
ETC,Ethereum Classic,14.9054328996173828
BUSD,BUSD,1.0009104790058445
ATOM,Cosmos,6.4419691410231254
BTCB,Bitcoin BEP2,28288.0227968392958258
FIL,Filecoin,3.1940158537553592
LDO,Lido DAO,1.5597155582547294
ICP,Internet Computer,3.0922004059697303
MKR,Maker,1386.2339999640097126
CRO,Crypto.com Coin,0.0517483600849285
VET,VeChain,0.0164484501927403
QNT,Quant,85.6264733336045273
NEAR,NEAR Protocol,1.0115552903731402
AAVE,Aave,62.4216098262082298
STX,Stacks,0.5320268023383201
BSV,Bitcoin SV,38.6612716064375558
GRT,The Graph,0.0803696056495296
ALGO,Algorand,0.0917024058894310
HBAR,Hedera Hashgraph,0.0461888607482218
RNDR,Render Token,1.8506565666340380
XTZ,Tezos,0.6437023746742205
AXS,Axie Infinity,4.2435976629866937
SAND,The Sandbox,0.2899612177291187
EOS,EOS,0.5417747940765234
THETA,THETA,0.5942681177369897
EGLD,MultiversX,24.2125171937877037
XDC,XinFin Network,0.0456859834743580
INJ,Injective,7.6668205685052479
MANA,Decentraland,0.2793959302701789
RUNE,THORChain,1.5399832221409503
FTM,Fantom,0.1787932531448831
KAVA,Kava,0.5753495202232905
USDP,Pax Dollar,1.0002070848549334
NEO,Neo,6.8920038022583519
XEC,eCash,0.0000244851582188
FLOW,Flow,0.4386367528348804
SNX,Synthetix,1.8966508904322541
ZEC,Zcash,27.1045771712835545
KCS,KuCoin Token,4.4442012419835868
TWT,Trust Wallet Token,1.0023360081787212
FXS,Frax Share,5.5847136709591444
FEI,Fei Protocol,0.9786446545255761
CHZ,Chiliz,0.0555071160793766
KLAY,Klaytn,0.1246880798662577
IOTA,IOTA,0.1447353009456303
OCEAN,Ocean Protocol,0.2831455760421181
CRV,Curve DAO Token,0.4351146691388253
HT,Huobi Token,2.3583548455519848
RPL,Rocket Pool,19.1653537911176014
CFX,Conflux,0.1100551142497366
MINA,Mina,0.3638531488646473
GT,GateToken,3.6817439639733079
CSPR,Casper,0.0300576281214560
FTT,FTX Token,1.0282876212972088
DYDX,dYdX,1.8195009950296709
GALA,Gala,0.0132907667382535
COMP,Compound,40.0030274050711054
NEXO,Nexo,0.5449192361750440
WOO,WOO Network,0.1723844149341585
LOOM,Loom Network,0.2415217565438248
DASH,Dash,25.2831193730399105
ZIL,Zilliqa,0.0165323543883206
BAT,Basic Attention Token,0.1801747360858172
ROSE,Oasis Network,0.0406090145313466
1INCH,1inch Network,0.2506664695850107
AR,Arweave,3.8587172599973252
CAKE,PancakeSwap,1.1152233446762641
GNO,Gnosis,94.3740347511757337
XEM,NEM,0.0261060382455053
HOT,Holo,0.0013477309224144
QTUM,Qtum,2.1890979706734028
ELF,aelf,0.3458364568335880
LRC,Loopring,0.1648096753539443
ZRX,0x Protocol,0.2554192860662215
ENJ,Enjin Coin,0.2161324257886753
CELO,Celo,0.4123468433388146
